cond;phone;tlx1_mean;tlx1_std;tlx2_mean;tlx2_std;tlx3_mean;tlx3_std;tlx4_mean;tlx4_std;tlx5_mean;tlx5_std;tlx6_mean;tlx6_std;tlx_totalScore_mean;tlx_totalScore_std
walking;S3;34.38;22.66666667;32.29;25.08666667;34.48;25.75;40.83;26.93666667;40.83333333;22.82;32.5;25.30333333;14.35666667;7.416666667
walking;S4;31.25;19.21333333;29.06;21.5;37.29;25.48666667;35.52;22.15666667;43.85333333;23.74666667;28.22666667;22.78666667;13.68;6.63
walking;OPO;30.93666667;20.92333333;37.18666667;26.62333333;38.54;27.22666667;37.39666667;27.25666667;41.66333333;25.98;28.23;25.02666667;14.26333333;8.19
walking;N6;38.43666667;28.30333333;51.87333333;26.91;42.5;27.16666667;46.56333333;25.57;49.69;25.29;50.62666667;33.03666667;18.64666667;7.86
seated;S3;30.83333333;21.78333333;23.75;24.54333333;38.12333333;27.35666667;32.60666667;27.48333333;38.64666667;28.11;31.24666667;30.68;13.01666667;8.543333333
seated;S4;30.93666667;21.31333333;26.45666667;26.10666667;35.83333333;24.91666667;34.16333333;24.19666667;35.72666667;24.65333333;23.85333333;21.93666667;12.46666667;7
seated;OPO;28.33333333;20.19666667;36.56333333;23.56333333;38.54333333;24.66;35.62666667;23.28333333;46.25333333;24.39333333;30.31333333;25.85333333;14.37666667;6.89
seated;N6;35.52;23.20333333;49.79;31.43333333;42.18666667;29.58;44.89666667;27.44;54.68666667;27.87333333;44.16666667;29.83333333;18.08333333;8.603333333
